Front (Question)	Back (Answer)	Lecture	Exam Ticket
В чем фундаментальное различие между уравнениями ожидания Беллмана и уравнениями оптимальности Беллмана?	<p><strong>Уравнение ожидания Беллмана (Bellman Expectation Equation):</strong> оценивает ценность состояний $V^\pi(s)$ или пар состояние-действие $Q^\pi(s, a)$ при следовании <strong>фиксированной политике $\pi$</strong>. Оно линейно по вектору ценностей, так как усредняет будущие доходы по распределению действий $\pi(a \mid s)$.</p> <p><strong>Уравнение оптимальности Беллмана (Bellman Optimality Equation):</strong> описывает ценности $V^*(s)$ и $Q^*(s, a)$ для <strong>наилучшей возможной политики $\pi^*$</strong>. Оно содержит оператор максимума $\max_{a \in \mathcal{A}}$, который связывает оптимальное действие с наивысшим ожидаемым будущим доходом. Из-за наличия $\max_a$ уравнение является строго нелинейным.</p>	Лекция_23	Билет_22_(ч.1)_Уравнение_Беллмана
Приведите строгий математический вывод уравнения ожидания Беллмана для функции ценности состояния $V^\pi(s)$ через закон полного математического ожидания.	<p>По определению ценность состояния $s$ при политике $\pi$ равна матожиданию дисконтированного дохода:</p> $$ V^\pi(s) = \mathbb{E}_\pi [G_t \mid S_t = s] $$ <p>Раскроем доход $G_t = R_{t+1} + \gamma G_{t+1}$:</p> $$ V^\pi(s) = \mathbb{E}_\pi [R_{t+1} + \gamma G_{t+1} \mid S_t = s] $$ <p>Применяя закон полного математического ожидания (Law of Total Expectation) по действию $A_t = a$, следующему состоянию $S_{t+1} = s'$ и награде $R_{t+1} = r$:</p> $$ V^\pi(s) = \sum_{a \in \mathcal{A}} \pi(a \mid s) \sum_{s' \in \mathcal{S}} \sum_{r \in \mathcal{R}} p(s', r \mid s, a) \left[ r + \gamma \, \mathbb{E}_\pi [G_{t+1} \mid S_{t+1} = s'] \right] $$ <p>По определению $\mathbb{E}_\pi [G_{t+1} \mid S_{t+1} = s'] = V^\pi(s')$, получаем итоговое уравнение ожидания Беллмана:</p> $$ V^\pi(s) = \sum_{a \in \mathcal{A}} \pi(a \mid s) \left[ \mathcal{R}(s, a) + \gamma \sum_{s' \in \mathcal{S}} \mathcal{P}(s' \mid s, a) V^\pi(s') \right] $$	Лекция_23	Билет_22_(ч.1)_Уравнение_Беллмана
Запишите и выведите уравнение ожидания Беллмана для функции ценности действия $Q^\pi(s, a)$.	<p>Функция $Q^\pi(s, a)$ оценивает ожидаемый доход при совершении действия $a$ в состоянии $s$ с последующим следованием политике $\pi$:</p> $$ Q^\pi(s, a) = \mathbb{E}_\pi [G_t \mid S_t = s, A_t = a] = \mathbb{E}_\pi [R_{t+1} + \gamma G_{t+1} \mid S_t = s, A_t = a] $$ <p>Усредняя по следующему состоянию $s'$ и награде $r$:</p> $$ Q^\pi(s, a) = \sum_{s' \in \mathcal{S}} \sum_{r \in \mathcal{R}} p(s', r \mid s, a) \left[ r + \gamma \, \mathbb{E}_\pi [G_{t+1} \mid S_{t+1} = s'] \right] $$ <p>Учитывая, что $\mathbb{E}_\pi [G_{t+1} \mid S_{t+1} = s'] = V^\pi(s') = \sum_{a' \in \mathcal{A}} \pi(a' \mid s') Q^\pi(s', a')$, получаем:</p> $$ Q^\pi(s, a) = \mathcal{R}(s, a) + \gamma \sum_{s' \in \mathcal{S}} \mathcal{P}(s' \mid s, a) \sum_{a' \in \mathcal{A}} \pi(a' \mid s') Q^\pi(s', a') $$	Лекция_23	Билет_22_(ч.1)_Уравнение_Беллмана
Почему уравнения оптимальности Беллмана нельзя решить через аналитическую матричную инверсию $(I - \gamma P)^{-1} R$?	<p>Уравнение оптимальности Беллмана имеет вид:</p> $$ V^*(s) = \max_{a \in \mathcal{A}} \left[ \mathcal{R}(s, a) + \gamma \sum_{s' \in \mathcal{S}} \mathcal{P}(s' \mid s, a) V^*(s') \right] $$ <p>Оператор $\max_{a}$ является кусочно-гладким и <strong>нелинейным</strong>: $\max(u + v) \ne \max(u) + \max(v)$. Выбор оптимального действия в каждом состоянии зависит от самих неизвестных значений $V^*(s')$, превращая систему в систему нелинейных уравнений. В отличие от линейного уравнения ожидания, нелинейные уравнения Беллмана решаются численными итерационными алгоритмами (Value Iteration, Policy Iteration).</p>	Лекция_23	Билет_22_(ч.1)_Уравнение_Беллмана
Докажите, что оператор оптимальности Беллмана $\mathcal{T}^*$ является $\gamma$-сжатием в пространстве с sup-нормой $\|\cdot\|_\infty$.	<p>Определим оператор оптимальности Беллмана: $(\mathcal{T}^* V)(s) = \max_{a} \left[ \mathcal{R}(s, a) + \gamma \sum_{s'} \mathcal{P}(s' \mid s, a) V(s') \right]$.</p> <p>Используем алгебраическое свойство $|\max_x f(x) - \max_x g(x)| \le \max_x |f(x) - g(x)|$. Тогда для любого состояния $s$:</p> $$ |(\mathcal{T}^* U)(s) - (\mathcal{T}^* V)(s)| \le \max_{a \in \mathcal{A}} \left| \gamma \sum_{s'} \mathcal{P}(s' \mid s, a) (U(s') - V(s')) \right| \le \gamma \max_{a \in \mathcal{A}} \sum_{s'} \mathcal{P}(s' \mid s, a) |U(s') - V(s')| $$ <p>Так как $|U(s') - V(s')| \le \|U - V\|_\infty$ и $\sum_{s'} \mathcal{P}(s' \mid s, a) = 1$:</p> $$ |(\mathcal{T}^* U)(s) - (\mathcal{T}^* V)(s)| \le \gamma \|U - V\|_\infty $$ <p>Беря супремум по всем $s \in \mathcal{S}$, получаем:</p> $$ \|\mathcal{T}^* U - \mathcal{T}^* V\|_\infty \le \gamma \|U - V\|_\infty $$ <p>При $\gamma < 1$ оператор $\mathcal{T}^*$ является сжимающим отображением на полном метрическом пространстве $(\mathbb{R}^{|\mathcal{S}|}, \|\cdot\|_\infty)$. По теореме Банаха существует строго единственная неподвижная точка $V^* = \mathcal{T}^* V^*$, к которой сходятся любые итерации.</p>	Лекция_23	Билет_22_(ч.1)_Уравнение_Беллмана
Выведите теоретическую оценку погрешности $\|V_k - V^*\|_\infty \le \frac{\gamma^k}{1-\gamma} \|V_1 - V_0\|_\infty$ и ее практическое применение.	<p>По свойству $\gamma$-сжатия разность между соседними итерациями убывает геометрически: $\|V_{j+1} - V_j\|_\infty \le \gamma^j \|V_1 - V_0\|_\infty$.</p> <p>По неравенству треугольника для ряда $V^* - V_k = \sum_{j=k}^\infty (V_{j+1} - V_j)$:</p> $$ \|V_k - V^*\|_\infty \le \sum_{j=k}^\infty \|V_{j+1} - V_j\|_\infty \le \sum_{j=k}^\infty \gamma^j \|V_1 - V_0\|_\infty = \frac{\gamma^k}{1 - \gamma} \|V_1 - V_0\|_\infty $$ <p><strong>Практическое значение:</strong> эта оценка дает критерий остановки в алгоритме Value Iteration: условие $\|V_{k+1} - V_k\|_\infty < \frac{\epsilon(1-\gamma)}{2\gamma}$ строго гарантирует, что результирующая жадная политика отклоняется от оптимальной не более чем на $\epsilon$: $\|V^{\pi_k} - V^*\|_\infty \le \epsilon$.</p>	Лекция_23	Билет_22_(ч.1)_Уравнение_Беллмана
Как выглядит матричная форма уравнения ожидания Беллмана $V^\pi = (I - \gamma P^\pi)^{-1} R^\pi$ и почему матрица $(I - \gamma P^\pi)$ всегда обратима при $\gamma < 1$?	<p>Определим вектор наград $R^\pi(s) = \sum_a \pi(a \mid s) \mathcal{R}(s, a)$ и стохастическую матрицу переходов $P^\pi(s, s') = \sum_a \pi(a \mid s) \mathcal{P}(s' \mid s, a)$.</p> <p>Уравнение в матричном виде:</p> $$ V^\pi = R^\pi + \gamma P^\pi V^\pi \implies (I - \gamma P^\pi) V^\pi = R^\pi \implies V^\pi = (I - \gamma P^\pi)^{-1} R^\pi $$ <p><strong>Доказательство обратимости:</strong> Поскольку $P^\pi$ — стохастическая матрица, ее спектральный радиус $\rho(P^\pi) \le 1$. При $\gamma < 1$ спектральный радиус $\rho(\gamma P^\pi) < 1$. Следовательно, матрица $(I - \gamma P^\pi)$ не имеет нулевых собственных значений, строго невырождена, и обратная матрица разлагается в сходящийся ряд Неймана $(I - \gamma P^\pi)^{-1} = \sum_{k=0}^\infty (\gamma P^\pi)^k$.</p>	Лекция_23	Билет_22_(ч.1)_Уравнение_Беллмана
Как восстановить оптимальную стратегию $\pi^*(s)$, если мы нашли $V^*(s)$ или $Q^*(s, a)$?	<p>1. Через функцию $Q^*(s, a)$ (без знания модели среды):</p> $$ \pi^*(s) = \arg\max_{a \in \mathcal{A}} Q^*(s, a) $$ <p>2. Через функцию ценности $V^*(s)$ (требуется 1-step lookahead с моделью $\mathcal{P}$ и $\mathcal{R}$):</p> $$ \pi^*(s) = \arg\max_{a \in \mathcal{A}} \left[ \mathcal{R}(s, a) + \gamma \sum_{s' \in \mathcal{S}} \mathcal{P}(s' \mid s, a) V^*(s') \right] $$	Лекция_23	Билет_22_(ч.1)_Уравнение_Беллмана
Что такое резервная диаграмма (Backup Diagram) и что означают ее узлы?	<p>Резервная диаграмма визуализирует поток обновления ценностей во времени на один шаг вперед:</p> <ul> <li><strong>Белые круги:</strong> состояния $s \in \mathcal{S}$.</li> <li><strong>Черные точки:</strong> действия $a \in \mathcal{A}$.</li> <li>В диаграмме для $V^\pi(s)$ корень $s$ разветвляется по действиям $a$ согласно $\pi(a \mid s)$, а затем ветвится по состояниям $s'$ согласно вероятностям среды $\mathcal{P}(s' \mid s, a)$. Значение в корне вычисляется как взвешенное матожидание листьев.</li> <li>В диаграмме для $V^*(s)$ вместо усреднения по действиям используется дуга оператора максимума $\max_a$.</li> </ul>	Лекция_23	Билет_22_(ч.1)_Уравнение_Беллмана
Почему жадная политика относительно $V^*(s)$ является глобально оптимальной для всего бесконечного горизонта?	<p>Согласно принципу оптимальности Беллмана, оптимальное поведение обладает тем свойством, что каково бы ни было начальное состояние и начальное действие, все последующие решения должны быть оптимальными относительно результирующего состояния.</p> <p>Поскольку $V^*(s')$ по определению уже содержит в себе максимальный достижимый доход от момента времени $t+1$ до бесконечности, локальный выбор жадного действия $a^* = \arg\max_a [\mathcal{R}(s, a) + \gamma \sum_{s'} \mathcal{P}(s' \mid s, a) V^*(s')]$ максимизирует сумму немедленной награды и оптимального бесконечного продолжения. Локальная жадность относительно истинной функции $V^*$ строго эквивалентна глобальной оптимальности всей бесконечной траектории.</p>	Лекция_23	Билет_22_(ч.1)_Уравнение_Беллмана
В чем главное отличие Policy Iteration от Value Iteration?	<p>В Policy Iteration на каждом шаге функция $V^\pi$ вычисляется до полной сходимости системы уравнений Беллмана, после чего строится новая стратегия $\pi'$. В Value Iteration оценивание стратегии обрывается ровно после одной итерации обновления: максимум берется непосредственно внутри шага обновления $V(s)$.</p>	Лекция_24	Билет_22_(ч.2)_Value/Policy_Iteration_Монте-Карло
Сформулируйте и строго докажите Теорему об улучшении стратегии (Policy Improvement Theorem).	<p><strong>Формулировка:</strong> Пусть $\pi$ и $\pi'$ — две детерминированные стратегии такие, что для всех $s \in \mathcal{S}$ выполняется $Q^\pi(s, \pi'(s)) \ge V^\pi(s)$. Тогда стратегия $\pi'$ не хуже стратегии $\pi$ во всех состояниях: $V^{\pi'}(s) \ge V^\pi(s)$.</p> <p><strong>Доказательство:</strong> Раскроем $V^\pi(s)$ по определению $Q^\pi$ и последовательно применим индукцию по будущим состояниям:</p> $$ V^\pi(s) \le Q^\pi(s, \pi'(s)) = \mathbb{E}_{\pi'} \left[ R_{t+1} + \gamma V^\pi(S_{t+1}) \mid S_t = s \right] $$ $$ \le \mathbb{E}_{\pi'} \left[ R_{t+1} + \gamma Q^\pi(S_{t+1}, \pi'(S_{t+1})) \mid S_t = s \right] $$ $$ = \mathbb{E}_{\pi'} \left[ R_{t+1} + \gamma R_{t+2} + \gamma^2 V^\pi(S_{t+2}) \mid S_t = s \right] $$ <p>Продолжая подстановку на $k$ шагов вперед при $k \to \infty$:</p> $$ V^\pi(s) \le \mathbb{E}_{\pi'} \left[ \sum_{l=0}^\infty \gamma^l R_{t+l+1} \mid S_t = s \right] = V^{\pi'}(s) $$ <p>Если $Q^\pi(s, \pi'(s)) > V^\pi(s)$ хотя бы в одном состоянии, то $\pi'$ строго лучше $\pi$.</p>	Лекция_24	Билет_22_(ч.2)_Value/Policy_Iteration_Монте-Карло
Как устроен критерий сходимости $\Delta < \theta$ в Policy Evaluation и как порог $\theta$ связан с погрешностью оценки ценности?	<p>В алгоритме итеративного оценивания политики на каждой эпохе отслеживается максимальное абсолютное изменение ценности по всем состояниям:</p> $$ \Delta = \max_{s \in \mathcal{S}} |v_{k+1}(s) - v_k(s)| = \|V_{k+1} - V_k\|_\infty $$ <p>Итерации останавливаются, как только $\Delta < \theta$. По свойству $\gamma$-сжатия оператора Беллмана гарантируется верхняя оценка погрешности:</p> $$ \|V_k - V^\pi\|_\infty \le \frac{\gamma}{1 - \gamma} \|V_k - V_{k-1}\|_\infty < \frac{\gamma \theta}{1 - \gamma} $$ <p>Это дает строгую гарантию точности аппроксимации функции ценности текущей политики.</p>	Лекция_24	Билет_22_(ч.2)_Value/Policy_Iteration_Монте-Карло
Приведите геометрическую интерпретацию концепции Generalized Policy Iteration (GPI).	<p>В пространстве «политика — функция ценности» $(\pi, V)$ алгоритмы RL интерпретируются как взаимодействие двух встречных векторных полей:</p> <ul> <li><strong>Policy Evaluation:</strong> направляет вектор ценностей $V \to V^\pi$ при неизменной политике $\pi$.</li> <li><strong>Policy Improvement:</strong> смещает политику $\pi \to \text{greedy}(V)$ относительно фиксированного вектора ценностей $V$.</li> </ul> <p>Каждый шаг одного процесса нарушает баланс для другого, порождая зигзагообразную траекторию сходимости. Обе силовые линии взаимно уравновешиваются исключительно в единственной точке пересечения — глобальном оптимуме $(V^*, \pi^*)$.</p>	Лекция_24	Билет_22_(ч.2)_Value/Policy_Iteration_Монте-Карло
В чем математическая разница свойств несмещенности и дисперсии между First-Visit MC и Every-Visit MC?	<p><strong>First-Visit Monte Carlo:</strong> усредняет доходы $G_t$ только от первого входа в состояние $s$ в каждом эпизоде. Выборки доходов из разных эпизодов строго независимы (i.i.d.), поэтому оценка $\hat{V}(s)$ является <strong>строго несмещенной</strong> ($\mathbb{E}[\hat{V}(s)] = V^\pi(s)$) для любого конечного числа эпизодов.</p> <p><strong>Every-Visit Monte Carlo:</strong> усредняет доходы от всех посещений состояния $s$ внутри каждого эпизода. Из-за корреляции повторных визитов внутри одной траектории оценка имеет слабое начальное смещение, но является <strong>асимптотически несмещенной и состоятельной</strong>. При малом числе эпизодов Every-Visit MC часто дает меньшую среднеквадратичную ошибку (MSE) благодаря большему объему точек.</p>	Лекция_24	Билет_22_(ч.2)_Value/Policy_Iteration_Монте-Карло
В чем суть предположения Exploring Starts в Monte Carlo Control и почему на практике используют $\epsilon$-мягкие ($\epsilon$-soft) стратегии?	<p><strong>Exploring Starts (Исследующие старты):</strong> предполагает, что каждый эпизод начинается со случайно выбранной пары $(s_0, a_0)$ с ненулевой вероятностью $P(S_0=s, A_0=a) > 0$ для всех пар. Это гарантирует исследование всех действий, но неприменимо в реальных физических системах (нельзя мгновенно телепортировать робота в произвольное состояние).</p> <p><strong>$\epsilon$-soft / $\epsilon$-greedy контроль:</strong> агент действует по стохастической политике, где наилучшее действие выбирается с вероятностью $1 - \epsilon + \frac{\epsilon}{|\mathcal{A}|}$, а все остальные действия — с вероятностью $\frac{\epsilon}{|\mathcal{A}|} > 0$. Это гарантирует постоянное исследование среды из стандартного начального состояния без искусственных допущений об инициализации.</p>	Лекция_24	Билет_22_(ч.2)_Value/Policy_Iteration_Монте-Карло
Что такое «бутстрэппинг» (Bootstrapping) в RL?	<p>Бутстрэппинг — это обновление оценки ценности одного состояния на основе <em>уже существующих оценок ценности других состояний</em> ($V(s) \leftarrow r + \gamma V(s')$), а не на основе реального завершенного дохода $G_t$. Динамическое программирование и TD-методы используют бутстрэппинг, а методы Монте-Карло — нет.</p>	Лекция_24	Билет_22_(ч.2)_Value/Policy_Iteration_Монте-Карло
Почему методы Монте-Карло не могут применяться в непрерывных (бесконечных) задачах?	<p>Потому что метод Монте-Карло требует вычисления фактического суммарного дохода эпизода $G_t = \sum r_k$. В непрерывных средах без терминального состояния эпизод никогда не заканчивается, и агент не может получить числовое значение $G_t$.</p>	Лекция_24	Билет_22_(ч.2)_Value/Policy_Iteration_Монте-Карло
В чем разница между First-Visit MC и Every-Visit MC?	<p>Если в течение одного эпизода агент попал в состояние $s$ трижды ($s \to s_1 \to s \to s_2 \to s$), First-Visit MC засчитает для обновления $V(s)$ только доход $G_t$ после первого входа в $s$. Every-Visit MC посчитает среднее по всем трем доходам из каждого посещения $s$.</p>	Лекция_24	Билет_22_(ч.2)_Value/Policy_Iteration_Монте-Карло
Что такое концепция Generalized Policy Iteration (GPI)?	<p>GPI — это общая концепция взаимодействия двух процессов: Policy Evaluation (оценка ценности текущей стратегии) и Policy Improvement (жадное улучшение стратегии по вычисленной ценности). Практически все алгоритмы RL представляют собой вариации GPI с разной частотой и глубиной чередования этих двух шагов.</p>	Лекция_24	Билет_22_(ч.2)_Value/Policy_Iteration_Монте-Карло
В чем математическая разница в формулах обновления SARSA и Q-learning?	<p>В <strong>SARSA</strong> в качестве мишени используется $r_{t+1} + \gamma Q(s_{t+1}, a_{t+1})$, где $a_{t+1}$ — действие, фактически выбранное текущей стратегией агента ($\epsilon$-greedy). В <strong>Q-learning</strong> в мишени стоит $r_{t+1} + \gamma \max_{a'} Q(s_{t+1}, a')$, то есть берется максимальное возможное значение без учета случайного исследования.</p>	Лекция_25	Билет_23_TD-обучение_SARSA_Q-learning
Почему SARSA называют On-policy, а Q-learning — Off-policy?	<p>On-policy означает, что мы оцениваем и улучшаем <em>ту же самую стратегию</em>, которая управляет поведением агента при сборе данных. Off-policy означает, что мы собираем опыт по одной стратегии (исследовательской $\mu$, например $\epsilon$-greedy), но при этом вычисляем ценность и обучаем <em>другую стратегию</em> — целевую оптимальную стратегию $\pi^* = \arg\max Q$.</p>	Лекция_25	Билет_23_TD-обучение_SARSA_Q-learning
Зачем в DQN нужен буфер Experience Replay?	<p>1. <strong>Устранение автокорреляции данных:</strong> Последовательные кадры в игре почти идентичны ($s_t \approx s_{t+1}$). Сэмплирование случайных батчей из буфера делает примеры независимыми и одинаково распределенными ($i.i.d.$).<br> 2. <strong>Повторное использование опыта:</strong> Редкие и важные переходы (например, победа или смерть) проигрываются нейросетью многократно.</p>	Лекция_25	Билет_23_TD-обучение_SARSA_Q-learning
Какую проблему решает Target Network в DQN?	<p>Проблему нестабильности целевого значения (Moving Target Problem). Если считать целевой таргет по той же сети, которую мы обучаем, мишень постоянно смещается при каждом градиентном шаге. Заморозка весов $\theta^-$ стабилизирует оптимизацию, превращая ее в контролируемую задачу регрессии.</p>	Лекция_25	Билет_23_TD-обучение_SARSA_Q-learning
Что такое Overestimation Bias в Q-learning и как его лечит Double DQN?	<p>Оператор $\max_{a'} Q(s', a')$ в условиях шума и неточных оценок берет максимум по случайным флуктуациям ($\mathbb{E}[\max(X, Y)] \ge \max(\mathbb{E}[X], \mathbb{E}[Y])$), систематически завышая ценность действий. Double DQN устраняет это, используя основную сеть $\theta$ для выбора аргумента максимума $a^* = \arg\max Q(s', a'; \theta)$, а целевую сеть $\theta^-$ — для его независимой оценки $Q(s', a^*; \theta^-)$.</p>	Лекция_25	Билет_23_TD-обучение_SARSA_Q-learning
Что входит в «Смертельную триаду» (Deadly Triad) в RL?	<p>Сочетание трех элементов: 1) Функциональная аппроксимация (нейросети); 2) Бутстрэппинг (обновление через оценки следующих состояний $V(s')$); 3) Off-policy обучение. Их совместное применение может приводить к расходимости алгоритмов обучения.</p>	Лекция_25	Билет_23_TD-обучение_SARSA_Q-learning
Как TD-ошибка $\delta_t = R_{t+1} + \gamma V(S_{t+1}) - V(S_t)$ связана с преимуществом (Advantage) и почему сумма дисконтированных TD-ошибок равна ошибке Монте-Карло?	<p>1. <strong>Связь с функцией преимущества:</strong> Одношаговая TD-ошибка является несмещенной выборочной оценкой преимущества действия $A(s_t, a_t) = Q(s_t, a_t) - V(s_t)$:</p> $$ \mathbb{E}[\delta_t \mid S_t = s, A_t = a] = \mathbb{E}[R_{t+1} + \gamma V(S_{t+1}) \mid s, a] - V(s) = Q(s, a) - V(s) = A(s, a) $$ <p>2. <strong>Телескопическая сумма вдоль траектории:</strong> Суммируя дисконтированные ошибки $\delta_{t+k}$ от шага $t$ до терминального состояния $T$ (где $V(S_T) = 0$):</p> $$ \sum_{k=0}^{T-t-1} \gamma^k \delta_{t+k} = \sum_{k=0}^{T-t-1} \gamma^k \left( R_{t+k+1} + \gamma V(S_{t+k+1}) - V(S_{t+k}) \right) = \sum_{k=0}^{T-t-1} \gamma^k R_{t+k+1} - V(S_t) = G_t - V(S_t) $$ <p>Все промежуточные слагаемые ценностей $\gamma^k V(S_{t+k})$ взаимно сокращаются, доказывая, что накопленная сумма локальных TD-ошибок строго равна глобальной ошибке прогноза Монте-Карло.</p>	Лекция_25	Билет_23_TD-обучение_SARSA_Q-learning
В чем различие поведения SARSA и Q-learning на классической задаче Cliff Walking (Хождение по краю обрыва)?	<p>В задаче Cliff Walking путь по краю обрыва минимален по длине, но шаг в пропасть дает штраф $-100$ и сброс на старт.</p> <ul> <li><strong>Q-learning (Off-policy):</strong> выучивает теоретически оптимальную политику $\pi^*(s)$, проходящую строго по самому краю обрыва. Однако во время обучения агент действует с $\epsilon$-исследованием, поэтому регулярно срывается в пропасть при случайных действиях и получает низкую суммарную награду на этапе тренировки.</li> <li><strong>SARSA (On-policy):</strong> учитывает, что агент реально действует по $\epsilon$-greedy политике. Оценивая реальный риск случайного срыва, SARSA выучивает более длинный, но безопасный путь вдали от края обрыва.</li> </ul>	Лекция_25	Билет_23_TD-обучение_SARSA_Q-learning
Докажите возникновение Overestimation Bias в Q-learning через неравенство Йенсена и объясните схему Double Q-Learning.	<p>Пусть истинные ценности равны $Q^*(s, a)$, а оценки зашумлены случайной центрированной величиной $\epsilon_a$: $\hat{Q}(s, a) = Q^*(s, a) + \epsilon_a$ ($\mathbb{E}[\epsilon_a] = 0$).</p> <p>Так как операция максимума является выпуклой функцией, по неравенству Йенсена:</p> $$ \mathbb{E}\left[ \max_{a} \hat{Q}(s, a) \right] \ge \max_{a} \mathbb{E}\left[ \hat{Q}(s, a) \right] = \max_{a} Q^*(s, a) $$ <p>Оператор $\max$ отбирает положительные шумовые выбросы, систематически завышая целевое значение $y_t$.</p> <p><strong>Double Q-Learning (van Hasselt):</strong> разделяет выбор действия и его оценку между двумя независимыми моделями $Q^A$ и $Q^B$:</p> $$ a^* = \arg\max_{a} Q^A(s', a), \qquad y_t = R + \gamma Q^B(s', a^*) $$ <p>Поскольку $Q^B$ не участвовала в выборе $a^*$, ее значение является несмещенной оценкой $\mathbb{E}[Q^B(s', a^*)] = Q^*(s', a^*)$, полностью устраняя систематическое смещение.</p>	Лекция_25	Билет_23_TD-обучение_SARSA_Q-learning
Почему возникает расходимость из-за «Смертельной триады» (Deadly Triad) и как DQN обеспечивает стабильность?	<p>При совмещении <strong>функциональной аппроксимации</strong> (нейросеть $Q_\theta$), <strong>бутстрэппинга</strong> ($r + \gamma \max Q$) и <strong>обучения вне политики (Off-policy)</strong> оператор обновления представляет собой проекцию оператора Беллмана на гиперповерхность весов сети $\Pi \mathcal{T}$.</p> <p>Вне политики норма оператора $\|\Pi \mathcal{T}\|$ может превышать 1 (спектральный радиус $\rho > 1$), что превращает сжимающее отображение в расширяющее: ошибки бутстрэппинга лавинообразно накапливаются, приводя к расходимости градиентов (контрпример Tsitsiklis-Van Roy).</p> <p><strong>Меры стабилизации в DQN:</strong></p> <ul> <li><em>Target Network ($\theta^-$):</em> фиксирует параметры мишени на $C$ шагов, разрывая петлю положительной обратной связи при бутстрэппинге.</li> <li><em>Experience Replay:</em> перемешивает данные во времени, устраняя автокорреляцию между последовательными шагами среды.</li> <li><em>Huber Loss / Smooth L1:</em> предотвращает взрыв градиентов при больших TD-ошибках.</li> </ul>	Лекция_25	Билет_23_TD-обучение_SARSA_Q-learning
В чем суть трюка логарифмической производной (Log-Derivative Trick) и почему динамика среды исчезает из градиента?	<p>Трюк логарифмической производной опирается на тождество $\nabla_\theta \log f(\theta) = \frac{\nabla_\theta f(\theta)}{f(\theta)} \implies \nabla_\theta f(\theta) = f(\theta) \nabla_\theta \log f(\theta)$.</p> <p>Вероятность траектории $\tau = (s_0, a_0, s_1, a_1, \dots, s_T)$ при политике $\pi_\theta$ выражается произведением:</p> $$ P(\tau; \theta) = \mu(s_0) \prod_{t=0}^{T-1} \mathcal{P}(s_{t+1} \mid s_t, a_t) \pi_\theta(a_t \mid s_t) $$ <p>Логарифмируя обе части, получаем сумму, где члены вероятностей среды $\mathcal{P}(s_{t+1} \mid s_t, a_t)$ не зависят от параметров $\theta$. Поэтому при взятии градиента динамика среды строго зануляется:</p> $$ \nabla_\theta \log P(\tau; \theta) = \sum_{t=0}^{T-1} \nabla_\theta \log \pi_\theta(a_t \mid s_t) $$ <p>Градиент целевой функции выигрыша:</p> $$ \nabla_\theta J(\theta) = \mathbb{E}_{\tau \sim \pi_\theta} \left[ \left( \sum_{t=0}^{T-1} \nabla_\theta \log \pi_\theta(a_t \mid s_t) \right) R(\tau) \right] $$ <p>Это позволяет вычислять точный градиент политики методом Монте-Карло без знания аналитической модели физики среды (Model-Free).</p>	Лекция_26	Билет_24_Policy_Gradient_REINFORCE
Докажите, что вычитание базовой линии $b(s)$ не смещает градиент стратегии.	<p>Раскрываем матожидание градиента с вычитаемым $b(s)$:</p> $$ \sum_{a} \pi_\theta(a \mid s) \nabla_\theta \log \pi_\theta(a \mid s) b(s) = b(s) \sum_a \nabla_\theta \pi_\theta(a \mid s) = b(s) \nabla_\theta \left(\sum_a \pi_\theta(a \mid s)\right) = b(s) \nabla_\theta (1) = 0 $$ <p>Поскольку сумма вероятностей действий всегда строго равна 1, градиент константы равен 0. Смещение отсутствует!</p>	Лекция_26	Билет_24_Policy_Gradient_REINFORCE
Выведите формулу градиента $\nabla_\theta \log \pi_\theta(a \mid s)$ для одномерной гауссовской политики в непрерывных пространствах действий.	<p>Для непрерывного действия $a \in \mathbb{R}$ гауссовская политика задается плотностью вероятности нормального распределения $\mathcal{N}(\mu_\theta(s), \sigma_\theta^2(s))$:</p> $$ \log \pi_\theta(a \mid s) = -\frac{1}{2} \ln(2\pi) - \ln \sigma_\theta(s) - \frac{(a - \mu_\theta(s))^2}{2\sigma_\theta^2(s)} $$ <p>Дифференцируя по параметрам среднего $\mu_\theta$ и дисперсии $\sigma_\theta$:</p> <ul> <li><strong>Градиент по $\mu_\theta(s)$:</strong> $$ \nabla_\theta \log \pi_\theta(a \mid s) = \frac{a - \mu_\theta(s)}{\sigma_\theta^2(s)} \nabla_\theta \mu_\theta(s) $$ </li> <li><strong>Градиент по $\sigma_\theta(s)$:</strong> $$ \nabla_\theta \log \pi_\theta(a \mid s) = \left( \frac{(a - \mu_\theta(s))^2}{\sigma_\theta^3(s)} - \frac{1}{\sigma_\theta(s)} \right) \nabla_\theta \sigma_\theta(s) $$ </li> </ul> <p>Если полученный выигрыш положителен ($A > 0$), среднее $\mu(s)$ сдвигается в сторону совершенного действия $a$, а дисперсия подстраивается под отклонение $|a - \mu|$.</p>	Лекция_26	Билет_24_Policy_Gradient_REINFORCE
